customerid|firstname|lastname|email|phone|createdtime
10000000-0000-0000-0000-000000000001|Aaron|Atkins|atkinsman@yahoo.com|100-000-0001|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000002|Ben|Bailey|ben.bailey22@gmail.com|100-000-0002|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000003|Charles|Chardonnay|chardonnay.family@aol.com|100-000-0003|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000004|Divya|Divani|divine.divya@gmail.com|100-000-0004|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000005|Evelyn|Esther|evelyn44@me.com|100-000-0005|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000006|Freddie|Flake|freddie.flake@comcast.net|100-000-0006|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000007|Guillaume|Gadot|guillaume.golfer@live.com|100-000-0007|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000008|Hari|Hirendra|sunshine.hari@gmail.com|100-000-0008|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000009|Ian|Ireland|ian.ireland88@yahoo.com|100-000-0009|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000010|John|Jameson|scubaguy12@gmail.com|100-000-0010|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000011|Kim|Karlton|kim@karltonfamily.org|100-000-0011|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000012|Li|Liang|lliang@qwest.com|100-000-0012|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000013|Maria|Manuel|netdragon@yahoo.com|100-000-0013|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000014|Julie|Bailey|jules47@aol.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000015|Nancy|Nicety|nnicety@sbcglobal.net|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000016|Osirus|O'Sirus|osirus@osirusplumbing.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000017|Paul|Pierce|paul.pierce@comcast.net|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000018|Quentin|Quickening|qquickening@empirepublishing.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000019|Ruth|Regalo|ruth.regalo48@aol.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000020|Sally|Struthers|another.sally84@yahoo.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000021|Thomas|Timothy|binaryboy12@gmail.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000022|Ulysses|Unilever|ulysses128@gmail.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000023|Vera|Verily|dancer.vera@yahoo.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000024|Xavier|Xanders|xavier.xanders@gmail.com|100-000-0014|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000025|Wanda|Wichita|help.me.wanda@yahoo.com|100-000-0014|2017-01-01T00:00:00.00Z
10000000-0000-0000-0000-000000000026|Yolanda|Yucutan|yonkers.yolanda@aol.com|100-000-0014|2017-04-01T00:00:00.00Z
10000000-0000-0000-0000-000000000027|Zach|Zelanko|zzelanko@zzyzx.net|442-425-8528|2017-07-01T00:00:00.00Z
10000000-0000-0000-0000-000000000028|Andrew|Adelman|atlanta.andrew@yahoo.com|678-412-9880|2017-03-01T00:00:00.00Z
10000000-0000-0000-0000-000000000029|Bob|Briody|oitsubob@gmail.com|619-212-5946|2017-03-12T00:00:00.00Z
10000000-0000-0000-0000-000000000030|Carly|Cotell|ccotell@hp.com|719-585-6201|2017-06-23T00:00:00.00Z
10000000-0000-0000-0000-000000000031|Peter|Laramore|peter.laramore@warnerbros.com|310-420-1642|2017-02-02T00:00:00.00Z
10000000-0000-0000-0000-000000000032|Phil|Hargrave|phil@familyhargrave.org|608-940-2256|2017-02-12T00:00:00.00Z
10000000-0000-0000-0000-000000000033|Joe|Banks|volcanojoe@gmail.com|702-294-2722|2017-02-22T00:00:00.00Z
10000000-0000-0000-0000-000000000034|Joe|Banks|joe.plus.patricia@stanley.com|702-293-3843|2017-03-04T00:00:00.00Z
